VehicleTypeId,Description,Year,Month,Count,Amount
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2015,10,160,1431110
9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,2015,10,2,30843
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2015,10,7,214264
18,CRANE,2015,10,3,75720
19,LOADER                                       ,2015,10,1,16000
21,TEMPO,2015,10,214,642842
1,MOPED/SCOOTER                                ,2015,11,6352,6697340
2,MOTOR CYCLE                                  ,2015,11,7793,9832035
3,AUTO RICKSHAW,2015,11,281,793204
4,PRIVATE MOTOR CAR/JEEP CAR,2015,11,3128,53261830
5,PUBLIC MOTOR CAR 1 TO 6 SEAT,2015,11,1,18785
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2015,11,12,356991
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2015,11,140,1401817
10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2015,11,7,167884
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2015,11,19,481710
18,CRANE,2015,11,1,56500
19,LOADER                                       ,2015,11,1,52780
21,TEMPO,2015,11,67,219213
1,MOPED/SCOOTER                                ,2015,12,5177,5421772
2,MOTOR CYCLE                                  ,2015,12,6385,8130920
3,AUTO RICKSHAW,2015,12,209,589892
4,PRIVATE MOTOR CAR/JEEP CAR,2015,12,2419,41557777
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2015,12,10,381957
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2015,12,121,1259149
10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2015,12,3,57637
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2015,12,4,143498
18,CRANE,2015,12,2,82180
19,LOADER                                       ,2015,12,3,157593
21,TEMPO,2015,12,412,1193698
1,MOPED/SCOOTER                                ,2016,1,4918,5151098
2,MOTOR CYCLE                                  ,2016,1,5332,6775038
3,AUTO RICKSHAW,2016,1,176,501179
4,PRIVATE MOTOR CAR/JEEP CAR,2016,1,2120,37231368
6,PUBLIC MOTOR CAR 7 TO 15 SEAT,2016,1,1,15976
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2016,1,21,396184
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2016,1,160,1580407
10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2016,1,2,43230
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2016,1,3,126298
12,TRAILER UPTO 2 TON,2016,1,2,5060
14,TRAILER 4 TO 8 TON,2016,1,1,2891
17,EXCAVATOR,2016,1,2,176341
18,CRANE,2016,1,1,43555
19,LOADER                                       ,2016,1,17,928023
21,TEMPO,2016,1,183,540009
1,MOPED/SCOOTER                                ,2016,2,5438,5710156
2,MOTOR CYCLE                                  ,2016,2,5938,7640816
3,AUTO RICKSHAW,2016,2,302,872611
4,PRIVATE MOTOR CAR/JEEP CAR,2016,2,2442,41526661
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2016,2,7,198192
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2016,2,198,1938317
10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2016,2,1,19260
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2016,2,16,514019
18,CRANE,2016,2,1,29600
19,LOADER                                       ,2016,2,3,186364
21,TEMPO,2016,2,231,693744
1,MOPED/SCOOTER                                ,2016,3,6030,6329850
