VehicleTypeId,Description,Year,Month,Count,Amount
3,AUTO RICKSHAW,2013,3,221,464519
4,PRIVATE MOTOR CAR/JEEP CAR,2013,3,1581,23792855
5,PUBLIC MOTOR CAR 1 TO 6 SEAT,2013,3,13,153434
6,PUBLIC MOTOR CAR 7 TO 15 SEAT,2013,3,1,20000
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2013,3,2,73419
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2013,3,54,414133
10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,2013,3,2,68214
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2013,3,1,12200
13,TRAILER 2 TO 4 TON,2013,3,1,10500
21,TEMPO,2013,3,157,472045
1,MOPED/SCOOTER                                ,2013,4,3171,3088772
2,MOTOR CYCLE                                  ,2013,4,4978,5214254
3,AUTO RICKSHAW,2013,4,209,438176
4,PRIVATE MOTOR CAR/JEEP CAR,2013,4,1017,15921768
5,PUBLIC MOTOR CAR 1 TO 6 SEAT,2013,4,7,48349
6,PUBLIC MOTOR CAR 7 TO 15 SEAT,2013,4,6,30054
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2013,4,57,465202
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2013,4,3,21600
21,TEMPO,2013,4,144,402724
1,MOPED/SCOOTER                                ,2013,5,3588,3489368
2,MOTOR CYCLE                                  ,2013,5,5874,6205642
3,AUTO RICKSHAW,2013,5,153,320279
4,PRIVATE MOTOR CAR/JEEP CAR,2013,5,1479,21178931
6,PUBLIC MOTOR CAR 7 TO 15 SEAT,2013,5,2,14707
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2013,5,1,48084
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2013,5,34,258457
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2013,5,1,5600
12,TRAILER UPTO 2 TON,2013,5,1,3943
21,TEMPO,2013,5,162,473155
1,MOPED/SCOOTER                                ,2013,6,3372,3328664
2,MOTOR CYCLE                                  ,2013,6,4425,4782940
3,AUTO RICKSHAW,2013,6,113,237301
4,PRIVATE MOTOR CAR/JEEP CAR,2013,6,1367,18973886
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2013,6,7,202243
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2013,6,43,336538
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2013,6,1,35420
21,TEMPO,2013,6,101,289114
1,MOPED/SCOOTER                                ,2013,7,3093,3023580
2,MOTOR CYCLE                                  ,2013,7,4356,4674091
3,AUTO RICKSHAW,2013,7,157,334111
4,PRIVATE MOTOR CAR/JEEP CAR,2013,7,1132,15860656
